"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Calendario da Tavolo Internazionale 2027 | Immagini Nature - Calendario mensile - Pianificazione e Organizzazione","B0GYNWPBNX","B0GYNWPBNX","finocam","calendari","Organizzazione dell'ufficio","20","0","100","0","25.24","0.00","4","0","6.31","0","20","0"
"finocam Taccuino Nexo Copertina Morbida Dotted Blu Marino, Taccuino A5 con Fogli Microforati, Tasca e Portapenna, 72 Fogli, Ideale per Bullet Journal","B0DV5RV4DS","B0DV5RV4DS","finocam","22903203","Archivio ufficio e accessori per scrivania","19","6","100","0","25.08","0.00","3","0","8.36","0","15.8","0"
"Finocam - Agenda Spirale 2026 1 Giorno per Pagina | Gennaio - Dicembre 12 mesi | Agenda Annuale 2026 | Copertura in polipropilene Spirale Design Collection - Goldy - Italiano, Giornaliera","B0FG39LB7S","B0FG39LB7S","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","52","14","100","0","24.93","15.70","2","1","12.46","0","3.8","7.1"
"Finocam Calendario da Parete per Scrivere 2027 | Neutro - Lingua: Italiano - Calendario mensile - Pianificazione e Organizzazione","B0H38WZBXW","B0H38WZBXW","finocam","calendari","Organizzazione dell'ufficio","16","0","100","0","23.92","0.00","4","0","5.98","0","25","0"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Azzurro","B0GJT25LQ1","B0GJT25LQ1","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","261","0","100","0","23.68","0.00","2","0","11.84","0","0.8","0"
"Finocam Jazz Libro delle Firme | Grigio","B0GJT6S2N2","B0GJT6S2N2","finocam","Organizer personali","Organizzazione dell'ufficio","33","0","100","0","22.99","0.00","1","0","22.99","0","3","0"
"Finocam - Portadocumenti A4 FOCUS - Nero | Poliuretano di alta qualità | Cartella con Cerniera - Portapenna e tasca interna per tablet | Dotato di blocco note","B085QVMWJW","B085QVMWJW","finocam","Organizer personali","Organizzazione dell'ufficio","18","1","100","0","22.30","0.00","1","0","22.30","0","5.6","0"
"Finocam Ikon Agenda 16 Mesi 2026 2027 | Nero","B0GJT2R199","B0GJT2R199","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","54","0","100","0","22.13","0.00","1","0","22.13","0","1.9","0"
"Finocam - Rubrica telefonica a doppia spirale con chiusura a elastico | 48 fogli | Piccola agenda con rubrica telefonica a doppia spirale 10 x 15 cm - colore Nero","B00JMEII1I","B00JMEII1I","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","65","11","100","0","20.91","8.20","3","1","6.97","0","4.6","9.1"
"Finocam - Rubrica telefonica a doppia spirale con chiusura a elastico | 48 fogli | Piccola agenda con rubrica telefonica rilegata a doppia spirale 10 x 15 cm - colore Blu","B00L9ZQ9ZK","B00L9ZQ9ZK","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","105","44","100","0","20.91","8.20","3","1","6.97","0","2.9","2.3"
