"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Mara Agenda Semainier 18 mois 2026 2027 | Daisy","B0GJSVYR6D","B0GJSVYR6D","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","48","0","100","0","14.58","0.00","1","0","14.58","0","2.1","0"
"Finocam Mínimal Agenda Semainier 18 mois 2026 2027 | Bleu","B0GJSXGHPV","B0GJSXGHPV","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","35","0","100","0","14.17","0.00","1","0","14.17","0","2.9","0"
"Finocam Espiral Agenda 18 mois 2026 2027 | 2 Jours par Page| Pretty","B0GJT3X9FM","B0GJT3X9FM","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","134","0","100","0","14.17","0.00","1","0","14.17","0","0.7","0"
"Finocam Mínimal Agenda Semainier 18 mois 2026 2027 | Pretty","B0GJT6TSSN","B0GJT6TSSN","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","46","0","100","0","14.17","0.00","1","0","14.17","0","2.2","0"
"Finocam Calendrier Mural 2027 | Neutre · Langue: Français","B0H38YTBHP","B0H38YTBHP","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","8","0","100","0","14.01","0.00","3","0","4.67","0","37.5","0"
"Finocam – Agenda Spirale 2026 Semaine sur 2 pages Présentation horizontale | Janvier – Décembre | Agenda annuel 2026 avec élastique | Couverture polypropylène Spirale Opaque – Bleu – Français","B0FG39S9SL","B0FG39S9SL","Finocam","Calendriers, agendas & organiseurs - Organisateurs de bureau","Organisateurs de bureau","34","75","100","0","13.17","36.68","2","4","6.58","0","5.9","5.3"
"Finocam Calendrier de Bureau International 2027 | Photos Venice","B0GYNV8ZQM","B0GYNV8ZQM","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","87","0","100","0","12.84","0.00","2","0","6.42","0","2.3","0"
"Finocam Mara Agenda Semainier 18 mois 2026 2027| Bleu","B0GJSYLDLW","B0GJSYLDLW","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","44","0","100","0","12.40","0.00","1","0","12.40","0","2.3","0"
"Finocam Mínimal Agenda Semainier 18 mois 2026 2027 | Noir","B0GJT23KQK","B0GJT23KQK","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","54","0","100","0","12.04","0.00","1","0","12.04","0","1.9","0"
"Finocam Planner Agenda Semainier + Notes 2027 | Vue hebdomadaire | Gris","B0GYNTR867","B0GYNTR867","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","7","0","100","0","11.92","0.00","1","0","11.92","0","14.3","0"
"Finocam – Cahier Nexo Couverture Rigide Uni Rouge | Cahier A5 à Feuilles Microperforées | Pochette et Passant pour stylo | 72 Feuilles, Idéal pour Écrire et Dessiner","B0DV5RNS84","B0DV5RNS84","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","2","0","100","0","11.67","0.00","1","0","11.67","0","50","0"
"Finocam You Agenda Semanal 2027 | Cotton · Internacional","B0GYNZWPZ8","B0GYNZWPZ8","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","23","0","100","0","11.17","0.00","1","0","11.17","0","4.3","0"
"Finocam Capri Agenda Semainier 16 mois 2026 2027 | Noir","B0GJSWKQDQ","B0GJSWKQDQ","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","83","0","100","0","10.62","0.00","1","0","10.62","0","1.2","0"
"Finocam Spirale Agenda Semainier 2027 | Impossible · Langue: Français","B0H39289YK","B0H39289YK","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","12","0","100","0","10.25","0.00","1","0","10.25","0","8.3","0"
"Finocam Spirale Opaque Agenda Semainier 2027 | Noir · Langue: Français","B0H39497JS","B0H39497JS","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","11","0","100","0","10.25","0.00","1","0","10.25","0","9.1","0"
