"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam - Natural Planner 2023 2024 Week Horizontal View September 2023 - August 2024 (12 Months) Tiger Spanish","B0BS4BGY6N","B0BS4BGY6N","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Ikon Brown International 16-Month Planner 2023-2024 Page-A-Day September 2023 – December 2024 (16-Month)","B0BS4BJ726","B0BS4BJ726","Finocam","Planners & Personal Organizers","Office Organization","9","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Cloe 16 Months Planner 2023 2024 Week Horizontal View September 2023 - December 2024 (16 Months) Catalan Blue","B0BS4BJZX4","B0BS4BJZX4","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Natural Planner 2023 2024 1 Day Page September 2023 - August 2024 (12 Months) Impossible Spanish","B0BS4BL2QB","B0BS4BL2QB","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Second diary 2023 2024 1 day page September 2023 - June 2024 (lesson year) + July and August summarized City Español","B0BS4BM32L","B0BS4BM32L","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Institut 2023 2024 Week Vertical View September 2023 - August 2024 (12 Months) Blue Español","B0BS4BNJ1L","B0BS4BNJ1L","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Natural Planner 2023 2024 1 Day Page September 2023 - August 2024 (12 Months) Best Catalan","B0BS4BP7BH","B0BS4BP7BH","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Cool Diary 2023 2024 Week Horizontal View September 2023 - June 2024 (Lesson Year) + July and August Summarized Black Spanish","B0BS4BPCN9","B0BS4BPCN9","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Secondary diary 2023 2024 week horizontal view September 2023 - June 2024 (lesson year) + July and August summarized City Catalan","B0BS4BPPWN","B0BS4BPPWN","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Teacher Diary 2023 2024 Week Horizontal View September 2023 - August 2024 (12 Months) Customizable Flowers Spanish","B0BS4BPTFX","B0BS4BPTFX","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Secondary diary 2023 2024 week horizontal view September 2023 - June 2024 (lesson year) + July and August summarized City Español","B0BS4BW33P","B0BS4BW33P","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Love Flexi Plain Design Notebook","B0BS4BW355","B0BS4BW355","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Talkual Planner 4th 2023 2024 1 Day Page September 2023 - August 2024 (12 Months) Spanish Vitamin","B0BS4BZC36","B0BS4BZC36","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Red Flexi Modern Dotted Notebook","B0BS4C2KF3","B0BS4C2KF3","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Espir Color Diary 2023 2024 1 Day Page September 2023 - August 2024 (12 Months) Pink Spanish","B0BS4C2RG1","B0BS4C2RG1","Finocam","Academic Planners & Appointment Books","Office Supplies","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Pink Flexi Modern Dotted Notebook","B0BS4C2SS9","B0BS4C2SS9","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Secondary diary 2023 2024 week horizontal view September 2023 - June 2024 (lesson year) + July and August summarized Tiger Spanish","B0BS4C3YBQ","B0BS4C3YBQ","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Natural Planner 2023 2024 1 Day Page September 2023 - August 2024 (12 Months) Spanish Tiger","B0BS4C53NQ","B0BS4C53NQ","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Espir Color Diary 2023 2024 1 Day Page September 2023 - August 2024 (12 Months) Catalan Pink","B0BS4C7L9X","B0BS4C7L9X","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Vitae 16 Months 2023 2024 Week Horizontal View September 2023 - December 2024 (16 Months) Black Spanish","B0BS4C7LC3","B0BS4C7LC3","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Mini Institute Planner 2023 2024 Week Horizontal View September 2023 - August 2024 (12 Months) Spanish Dreams","B0BS4CB7JD","B0BS4CB7JD","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Secondary diary 2023 2024 week horizontal view September 2023 - June 2024 (lesson year) + July and August summarized Black Portuguese","B0BS4CD19C","B0BS4CD19C","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Planner Espir Label 2023 2024 Week Horizontal View September 2023 - August 2024 (12 Months) Black Spanish","B0BS4CDFXP","B0BS4CDFXP","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Cool Agenda 2023 2024 1 Day Page September 2023 - June 2024 (lesson year) + July and August summary Floral Spanish","B0BS4CF6M9","B0BS4CF6M9","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Secondary diary 2023 2024 week horizontal view September 2023 - June 2024 (lesson year) + July and August summarized Tiger Catalan","B0BS4CF6NM","B0BS4CF6NM","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Mini Institute Diary 2023 2024 1 Day Page September 2023 - June 2024 (Lesson Year) + July and August summarized Spanish Dreams","B0BS4CGGQM","B0BS4CGGQM","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Secondary diary 2023 2024 1 day page September 2023 - June 2024 (lesson year) + July and August summarized Black Portuguese","B0BS4CJX5Y","B0BS4CJX5Y","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Espir Label Planner 2023 2024 Week Horizontal View September 2023 - August 2024 (12 Months) Catalan Red","B0BS4CLJDT","B0BS4CLJDT","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Cool Diary 2023 2024 1 Day Page September 2023 - June 2024 (lesson year) + July and August summarized Spanish Blue","B0BS4CMPD5","B0BS4CMPD5","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Mini Institute Planner 2023 2024 1 Day Page September 2023 - June 2024 (Lesson Year) + July and August summarized Lisa Azul Español","B0BS4D4VFN","B0BS4D4VFN","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Girl Minimal International 18-Month Planner 2023-2024 Horizontal Week View July 2023 – December 2024 (18 Months)","B0BS4D82CL","B0BS4D82CL","Finocam","Planners & Personal Organizers","Office Organization","37","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Vitae 16 Month Planner 2023 2024 Week Horizontal View September 2023 - December 2024 (16 Months) Catalan Black","B0BS4D8YWW","B0BS4D8YWW","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Cats International Wall Photo Calendar 2024 January 2024 – December 2024 (12 months)","B0C2V77CD7","B0C2V77CD7","Finocam","Office Calendars","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Traveling International Wall Photo Calendar 2024 January 2024 – December 2024 (12 months)","B0C2V8RSDZ","B0C2V8RSDZ","Finocam","Office Calendars","Office Organization","3","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Nature International Wall Photo Calendar 2024 January 2024 – December 2024 (12 months)","B0C2V8TJKQ","B0C2V8TJKQ","Finocam","Office Calendars","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Dogs International Wall Photo Calendar 2024 January 2024 – December 2024 (12 months)","B0C2V921RQ","B0C2V921RQ","Finocam","Office Calendars","Office Organization","40","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Parks International Desktop Photo Calendar 2024 January 2024 – December 2024 (12 months)","B0C2V9FMWZ","B0C2V9FMWZ","Finocam","Planners & Personal Organizers","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Parks International Wall Photo Calendar 2024 January 2024 – December 2024 (12 months)","B0C2VC2X38","B0C2VC2X38","Finocam","Office Calendars","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Opaque Black Spiral International Planner 2024 Horizontal Week View January 2024 – December 2024 (12 Months)","B0C2VCLX13","B0C2VCLX13","Finocam","Planners & Personal Organizers","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Opaque Black Spiral International Planner 2024 Page-A-Day January 2024 – December 2024 (12 Months)","B0C2VF6WGZ","B0C2VF6WGZ","Finocam","Planners & Personal Organizers","Office Organization","3","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Opaque Purple Spiral International Planner 2024 Page-A-Day January 2024 – December 2024 (12 Months)","B0C2VFJWNM","B0C2VFJWNM","Finocam","Planners & Personal Organizers","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Opaque Blue Spiral International Planner 2024 Page-A-Day January 2024 – December 2024 (12 Months)","B0C2VFT7GM","B0C2VFT7GM","Finocam","Planners & Personal Organizers","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Design Collection Moon Spiral International Planner 2024 Horizontal Week View January 2024 – December 2024 (12 Months)","B0C33BJ5FL","B0C33BJ5FL","Finocam","Planners & Personal Organizers","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Design Collection Now Spiral International Planner 2024 Page-A-Day January 2024 – December 2024 (12 Months)","B0C33CCPWW","B0C33CCPWW","Finocam","Planners & Personal Organizers","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Design Collection Goldy Spiral International Planner 2024 Horizontal Week View January 2024 – December 2024 (12 Months)","B0C33GB39D","B0C33GB39D","Finocam","Planners & Personal Organizers","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Mara 2024-2025 18-Month Diary Vertical Week View July 2024 – December 2025 (18 Months) Black International","B0CTMT163V","B0CTMT163V","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Mara 2024-2025 18-Month Diary Vertical Week View July 2024 – December 2025 (18 Months) Turquoise International","B0CTMTFX3N","B0CTMTFX3N","Finocam","Notebooks & Composition Books","Office Supplies","0","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Ikon 2024-2025 16-Month Diary Vertical Week View September 2024 – December 2025 (16 Months) Black International","B0CTMV3PCT","B0CTMV3PCT","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Plain Lion Design Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F2C3XM","B0D3F2C3XM","Finocam","Notebooks & Composition Books","Office Supplies","0","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Modern Plain Red Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F2C3XN","B0D3F2C3XN","Finocam","Notebooks & Composition Books","Office Supplies","0","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Dynamic Berlín 2025 Page-A-Day Diary January 2025 – December 2025 (12 Months) Leaves International","B0D3F4TLWC","B0D3F4TLWC","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Dynamic Mara 2025 Page-A-Day Diary January 2025 – December 2025 (12 Months) Blue International","B0D3F5G6SF","B0D3F5G6SF","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Dynamic Berlín 2025 Diary Vertical Week View January 2025 – December 2025 (12 Months) Leaves International","B0D3F5GFRW","B0D3F5GFRW","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Dynamic Milano 2025 Diary 2 Pages per Day January 2025 – December 2025 (12 Months) Black International","B0D3F5HY4H","B0D3F5HY4H","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Dynamic Mara 2025 Diary Vertical Week View January 2025 – December 2025 (12 Months) Blue International","B0D3F5J98D","B0D3F5J98D","Finocam","Notebooks & Composition Books","Office Supplies","0","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – International 2025 Desktop Photo Calendar Month View January 2025 – December 2025 (12 Months) Paris International","B0D3F5KQDT","B0D3F5KQDT","Finocam","Notebooks & Composition Books","Office Supplies","0","3","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – International 2025 Wall Photo Calendar Month View January 2025 – December 2025 (12 Months) Paris International","B0D3F5KTC9","B0D3F5KTC9","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Modern Dotted Red Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F5PN4C","B0D3F5PN4C","Finocam","Notebooks & Composition Books","Office Supplies","0","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Dynamic Mara 2025 Page-A-Day Diary January 2025 – December 2025 (12 Months) Black International","B0D3F5SBP7","B0D3F5SBP7","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","29.94","0","2","0.00","0","0","0"
"Finocam – Modern Dotted Blue Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F5WZ18","B0D3F5WZ18","Finocam","Notebooks & Composition Books","Office Supplies","0","2","0.00","0.00","0","0","0.00","0","0","0"
