"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Espiral Planer 18 Monate 2026 2027 | Terminkalender | Daisy","B0GJT23N8Z","B0GJT23N8Z","Finocam","Terminkalender","22903000","21","0","100","0","14.29","0.00","1","0","14.29","0","4.8","0"
"Finocam - Notizbuch Nexo Flexibler Einband Blanko Türkis | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Blätter, Ideal zum Schreiben und Zeichnen","B0DV5S5VVP","B0DV5S5VVP","Finocam","Notizblöcke","22903000","2","0","100","0","13.17","0.00","1","0","13.17","0","50","0"
"Finocam Wandkalender 2027 | Bilder Charming","B0GYNTYRKM","B0GYNTYRKM","Finocam","Kalender, Planer & Organizer - Büroorganisation","Büroorganisation","8","0","100","0","12.94","0.00","1","0","12.94","0","12.5","0"
"FINOCAM - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet - Marineblau | Kleines Notizbuch mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV5SJ6GB","B0DV5SJ6GB","Finocam","Notizblöcke","22903000","9","10","100","0","12.86","15.12","2","2","6.43","0","22.2","20"
"Finocam Mara Planer 18 Monate 2026 2027 | Terminkalender| Pretty","B0GJTBHR9G","B0GJTBHR9G","Finocam","Terminkalender","22903000","38","0","100","0","12.50","0.00","1","0","12.50","0","2.6","0"
"Finocam Mínimal Planer 18 Monate 2026 2027 | Terminkalender | Blau","B0GJT25LQ1","B0GJT25LQ1","Finocam","Terminkalender","22903000","29","0","100","0","12.14","0.00","1","0","12.14","0","3.4","0"
"Finocam Mínimal Planer 18 Monate 2026 2027 | Terminkalender | Pretty","B0GJT8HNSX","B0GJT8HNSX","Finocam","Terminkalender","22903000","45","0","100","0","12.14","0.00","1","0","12.14","0","2.2","0"
"Finocam Terminkalender 2027 – Monatskalender + Notizbuch","B0GYNRZL6R","B0GYNRZL6R","Finocam","Terminkalender","22903000","3","0","100","0","12.02","0.00","1","0","12.02","0","33.3","0"
"Finocam Dotted Planer 16 Monate 2026 2027 | Terminkalender | Gala","B0GJSTYCBJ","B0GJSTYCBJ","Finocam","Terminkalender","22903000","60","0","100","0","11.08","0.00","1","0","11.08","0","1.7","0"
"Finocam Dotted Planer 16 Monate 2026 2027 | Terminkalender | Schwarz","B0GJSV82XJ","B0GJSV82XJ","Finocam","Terminkalender","22903000","16","0","100","0","11.08","0.00","1","0","11.08","0","6.3","0"
"Finocam Planer Berlin 2027 | Terminkalender | Blatt","B0GYNW59MH","B0GYNW59MH","Finocam","Terminkalender","22903000","9","0","100","0","10.92","0.00","1","0","10.92","0","11.1","0"
"Finocam Capri Planer 16 Monate 2026 2027 | Terminkalender | Schwarz","B0GJSWKQDQ","B0GJSWKQDQ","Finocam","Terminkalender","22903000","41","0","100","0","10.71","0.00","1","0","10.71","0","2.4","0"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Kleiner Terminplaner alphabetisch 10 x 15 cm mit doppelter Spiralbindung - Farbe Blau","B01D025JGY","B01D025JGY","Finocam","22903082","22903000","20","30","100","0","10.38","0.00","1","0","10.38","0","5","0"
"Finocam Ikon Planer 16 Monate 2026 2027 | Terminkalender | Bordeaux","B0GJT88P6D","B0GJT88P6D","Finocam","Terminkalender","22903000","15","0","100","0","10.35","0.00","1","0","10.35","0","6.7","0"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Camel | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV5SDYWJ","B0DV5SDYWJ","Finocam","Notizblöcke","22903000","15","9","100","0","8.57","12.22","1","1","8.57","0","6.7","11.1"
"Finocam - Notizbuch Nexo Flexibler Einband Blanko Fuchsia | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Blätter, Ideal zum Schreiben und Zeichnen","B0DV5SQPR3","B0DV5SQPR3","Finocam","Notizblöcke","22903000","1","0","100","0","8.57","0.00","1","0","8.57","0","100","0"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Türkis | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV5T6247","B0DV5T6247","Finocam","Notizblöcke","22903000","13","6","100","0","8.57","0.00","1","0","8.57","0","7.7","0"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Rot | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV66L57J","B0DV66L57J","Finocam","Notizblöcke","22903000","13","11","100","0","8.57","8.88","1","1","8.57","0","7.7","9.1"
"Finocam Haiku Monatsplaner undatiert | Monatsansicht | Grün · International - Planner","B0GJT1DK7K","B0GJT1DK7K","Finocam","Kalender, Planer & Organizer - Büroorganisation","Büroorganisation","20","0","100","0","6.72","0.00","1","0","6.72","0","5","0"
"Finocam - Terminplaner 2026 Wochenansicht Horizontal | Januar–Dezember (12 Monate) | B5 Jahresterminplaner 2026 mit Gummiband | Doppelte Spiralbindung Festeinband Optimal - Emma - International","B0F9LC83P3","B0F9LC83P3","Finocam","Kalender, Planer & Organizer - Büroorganisation","Büroorganisation","5","0","100","0","6.50","0.00","1","0","6.50","0","20","0"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Türkis | Kleines Notizbuch mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV5SD5LQ","B0DV5SD5LQ","Finocam","Notizblöcke","22903000","9","4","100","0","6.43","0.00","1","0","6.43","0","11.1","0"
